dates;spread
2024-02;84.5
2024-01;86.52
2023-12;89.08
2023-11;89.21
2023-10;89.38
2023-09;89.76
2023-08;91.48
2023-07;91.01
2023-06;90.74
2023-05;94.54
2023-04;90.07
2023-03;85.52
2023-02;89.83
2023-01;90.3
2022-12;88.55
2022-11;88.78
2022-10;86.64
2022-09;85.17
2022-08;82.39
2022-07;88.87
2022-06;96.15
2022-05;93.21
2022-04;95.02
2022-03;99.37
2022-02;97.36
2022-01;97.58
2021-12;98.9
2021-11;97.41
2021-10;78.76
2021-09;100.45
2021-08;100.53
2021-07;101.64
2021-06;103.66
2021-05;104.33
2021-04;103.26
2021-03;102.48
2021-02;103.67
2021-01;104.92
2020-12;103.6
2020-11;104.98
2020-10;106.53
2020-09;107.33
2020-08;106.46
2020-07;104.77
2020-06;97.77
2020-05;61.55
2020-04;72.24
2020-03;109.35
2020-02;111.61
2020-01;112.02
2019-12;113.22
2019-11;115.3
2019-10;118.31
2019-09;115.71
2019-08;112.7
2019-07;105.44
2019-06;97.0
2019-05;91.35
2019-04;115.1
2019-03;116.86
2019-02;120.07
2019-01;119.22
2018-12;117.57
2018-11;118.32
2018-10;119.58
2018-09;118.12
2018-08;119.03
2018-07;122.31
2018-06;121.37
2018-05;118.36
2018-04;121.54
2018-03;120.48
2018-02;116.93
2018-01;116.56
2017-12;118.27
2017-11;121.02
2017-10;116.6
2017-09;116.21
2017-08;114.28
2017-07;113.74
2017-06;117.41
2017-05;118.81
2017-04;118.6
2017-03;115.48
2017-02;113.42
2017-01;118.44
2016-12;119.63
2016-11;118.81
2016-10;120.83
2016-09;120.73
2016-08;124.39
2016-07;124.11
2016-06;124.22
2016-05;124.99
2016-04;128.06
2016-03;130.3
2016-02;131.97
2016-01;130.93
2015-12;131.92
2015-11;133.17
2015-10;128.03
2015-09;125.13
2015-08;128.21
2015-07;131.39
2015-06;132.52
2015-05;132.55
2015-04;127.78
2015-03;127.33
2015-02;125.17
2015-01;121.09
2014-12;118.71
2014-11;118.23
2014-10;121.14
2014-09;119.11
2014-08;117.27
2014-07;118.37
2014-06;116.51
2014-05;116.01
2014-04;116.92
2014-03;116.16
2014-02;117.6
2014-01;121.4
2013-12;122.17
2013-11;118.22
2013-10;120.42
2013-09;124.38
2013-08;131.48
2013-07;124.04
2013-06;120.29
2013-05;119.73
2013-04;118.02
2013-03;121.07
2013-02;124.41
2013-01;116.46
2012-12;120.85
2012-11;122.29
2012-10;121.29
2012-09;119.94
2012-08;123.93
2012-07;122.54
2012-06;122.64
2012-05;127.49
2012-04;130.34
2012-03;128.3
2012-02;126.28
2012-01;124.26
2011-12;129.85
2011-11;133.03
2011-10;133.29
2011-09;137.84
2011-08;137.47
2011-07;135.77
2011-06;138.86
2011-05;141.42
2011-04;141.81
2011-03;141.18
2011-02;143.63
2011-01;144.47
2010-12;142.58
2010-11;143.03
2010-10;143.3
2010-09;142.69
2010-08;140.02
2010-07;143.78
2010-06;143.59
2010-05;126.82
2010-04;133.76
2010-03;132.46
2010-02;128.55
2010-01;133.31
2009-12;134.81
2009-11;136.74
2009-10;136.91
2009-09;135.77
2009-08;137.4
2009-07;137.92
2009-06;144.3
2009-05;139.99
2009-04;140.84
2009-03;140.89
2009-02;153.46
2009-01;134.79
2008-12;142.38
2008-11;139.65
2008-10;143.27
2008-09;144.91
2008-08;149.96
2008-07;156.12
2008-06;151.42
2008-05;148.81
2008-04;153.74
2008-03;153.02
2008-02;153.93
2008-01;154.61
2007-12;154.1
2007-11;151.58
2007-10;151.45
2007-09;150.48
2007-08;151.34
2007-07;153.94
2007-06;153.97
2007-05;154.0
2007-04;150.49
2007-03;149.43
2007-02;135.27
2007-01;143.34
2006-12;159.09
2006-11;164.89
2006-10;164.24
2006-09;165.67
2006-08;160.38
2006-07;160.04
2006-06;161.85
2006-05;159.93
2006-04;160.33
2006-03;159.96
2006-02;167.2
2006-01;166.36
2005-12;165.77
2005-11;167.25
2005-10;168.65
2005-09;169.61
2005-08;170.03
2005-07;165.35
2005-06;161.75
2005-05;160.94
2005-04;159.84
2005-03;165.31
2005-02;163.45
2005-01;172.77
2004-12;169.35
2004-11;169.15
2004-10;161.98
2004-09;168.3
2004-08;170.77
2004-07;175.84
2004-06;177.21
2004-05;185.58
2004-04;182.31
2004-03;180.48
2004-02;182.33
2004-01;181.48
2003-12;186.87
2003-11;178.71
2003-10;178.88
2003-09;179.33
2003-08;176.97
2003-07;187.14
2003-06;191.38
2003-05;194.17
2003-04;195.31
2003-03;193.44
2003-02;192.38
2003-01;185.83
2002-12;190.59
2002-11;197.95
2002-10;199.3
2002-09;199.37
2002-08;198.47
2002-07;198.48
2002-06;199.39
2002-05;201.94
2002-04;214.47
2002-03;214.53
2002-02;208.43
2002-01;210.81
2001-12;206.62
2001-11;209.06
2001-10;212.51
2001-09;213.84
2001-08;213.69
2001-07;211.72
2001-06;213.47
2001-05;213.87
2001-04;213.09
2001-03;213.71
2001-02;216.54
2001-01;217.0
2000-12;220.2
2000-11;212.52
2000-10;216.02
2000-09;220.97
2000-08;227.54
2000-07;217.38
2000-06;223.18
2000-05;210.64
2000-04;200.02
2000-03;222.64
2000-02;221.59
2000-01;219.2
1999-12;212.93
1999-11;238.56
1999-10;240.41
1999-09;237.51
1999-08;240.4
1999-07;240.11
1999-06;237.63
1999-05;212.29
1999-04;238.88
1999-03;245.72
1999-02;249.8
1999-01;250.9
1998-12;254.32
1998-11;267.41
1998-10;256.05
1998-09;258.07
1998-08;257.09
1998-07;263.09
1998-06;259.2
1998-05;262.39
1998-04;266.5
1998-03;269.94
1998-02;272.03
1998-01;272.06
1997-12;276.96
1997-11;270.48
1997-10;274.8
1997-09;272.27
1997-08;266.49
1997-07;273.36
1997-06;263.99
1997-05;271.0
1997-04;276.09
1997-03;276.23
1997-02;287.1
1997-01;280.12
1996-12;286.35
1996-11;293.34
1996-10;294.62
1996-09;306.59
1996-08;320.9
1996-07;326.11
1996-06;330.94
1996-05;338.12
1996-04;345.84
1996-03;342.88
1996-02;339.2
1996-01;362.89
1995-12;360.35
1995-11;406.6
1995-10;379.31
1995-09;375.53
1995-08;382.32
1995-07;377.82
1995-06;391.03
1995-05;388.0
1995-04;385.23
1995-03;396.1
1995-02;388.91
1995-01;390.34
1994-12;398.83
1994-11;407.99
1994-10;409.5
1994-09;425.1
1994-08;423.53
1994-07;423.97
1994-06;439.37
1994-05;430.4
1994-04;431.6
1994-03;439.17
1994-02;440.2
1994-01;446.76
1993-12;454.35
1993-11;440.5
1993-10;427.38
1993-09;412.07
1993-08;407.09
1993-07;414.3
1993-06;412.48
1993-05;419.73
1993-04;430.55
1993-03;417.68
1993-02;430.37
1993-01;421.83
1992-12;420.85
1992-11;418.5
1992-10;417.08
1992-09;430.36
1992-08;439.11
1992-07;449.17
1992-06;443.3
1992-05;449.11
1992-04;453.91
1992-03;455.44
1992-02;455.31
1992-01;449.61
1991-12;454.05
1991-11;454.45
1991-10;460.48
1991-09;458.21
1991-08;456.53
1991-07;451.04
1991-06;458.14
1991-05;456.23
1991-04;451.79
1991-03;447.99
1991-02;446.6
1991-01;451.66
1990-12;458.4
1990-11;462.0
1990-10;465.1
1990-09;465.07
1990-08;462.41
1990-07;390.27
1990-06;458.88
1990-05;462.35
1990-04;473.36
1990-03;497.48
1990-02;489.17
1990-01;503.43
